id,name,cas_no,synonyms_iupac
BNZ301,BenzothiadiazineRelatedCompoundA,121-30-2,"4-Amino-6-chloro-1,3-benzenedisulfonamide β-Carotene"
CRT100,β-Carotene,7235-40-7,"1,3,3-Trimethyl-2-[3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohex-1-en-1- yl)octadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]cyclohex-1-ene"
BTH201,BetahistineImpurityA,100-69-6,2-Vinylpyridine(stabilizedwith4-tert-butylpyrocatechol)
BTH100,Betahistine/BetahistineHCl,5638-76-6,/5579-84-0 N-Methyl-2-pyridineethanamine; 2-[2- (Methylamino)ethyl]pyridine;2-[2-(Methylamino)ethyl]pyridine
BTH201,BetahistineEPImpurityA,100-69-6,2-Vinylpyridine Page10
BTH203,BetahistineEPImpurityC,2095467-43-7,"/5452-87-9 Benzothiadiazine,N-Methyl-2-(pyridin-2-yl)-N-(2-(pyridin-2-yl)ethyl)ethan-1-aminetrihydrochloride"
BTH401,BetahistineImpurityB,103-74-2,2-Pyridineethanol Bilastine
BLS100,Bilastine,202189-78-4,2-[4-(2-{4-[1-(2-Ethoxyethyl)-1H-benzimidazol-2-yl]-1-piperidinyl}ethyl)phenyl]-2-methylpropanoicacid
BLS401,BilastineimpurityI,1181267-33-3,Methyl2-(4-(2-chloroethyl)phenyl)-2-methylpropanoate
BSP100,BISOPROLOLHEMIFUMARATE,104344-23-2,"/66722-44-9 1-[4-[[2-(1-Methylethoxy)ethoxy]methyl]phenoxy] -3-[(1-methylethyl)amino]-2-propanol,BisoprololFumarate"
BSP211,BisoprololEP ImpurityK,864544-37-6,2-isopropoxyethyl4-(2-hydroxy-3-(isopropylamino)propoxy)benzoate
BSP212,BisoprololEP ImpurityL,29122-74-5,4-[((2RS)-2-Hydroxy-3-(isopropylamino)-propyl)oxy]benzaldehyde
BSP214,BisoprololEP ImpurityN,1346601-75-9,(2RS)-1-[4-((2-Ethoxyethoxy)methyl)phenoxy]-3-(isopropylamino)-2-propanol
BSP217,BisoprololEP ImpurityQ,1346604-00-9,(2RS)-1-Isopropylamino-3-[4-(2-methoxyethoxy)methyl]-phenoxy-2-propanol
BSP401,BisoprololCarboxylicAcidImpurity,72570-70-8,4-(2-Hydroxy-3-isopropylaminopropoxy)benzoicAcid Brexpiprazole
BRX100,Brexpiprazole,913611-97-9,7-[4-(4-Benzo[b]thien-4-yl-1-piperazinyl)butoxy]-2(1H)-quinolinone
BRX401,BrexpiprazoleImpurity1,1420987-86-5,"1,4-bis(benzo[b]thiophen-4-yl)piperazine BrexpiprazoleN-Oxide"
BRX402,7-[4-(4-Benzo[b]thien-4-yl-1-oxido-1-piperazinyl)butoxy],1191900-58-9,-2(1H)-quinolinone
BRX403,BrexpiprazoleImpurity9,31570-97-5,5-hydroxy-;5-Hydroxy-2(1H)-quinolinone
BRX404,BrexpiprazoleImpurity11,1886188-97-1,7-(4-hydroxybutoxy)quinolin-2(1H)-one
BRX405,BrexpiprazoleImpurity12,2116542-19-7,"7,7'-(butane-1,4-diylbis(oxy))bis(quinolin-2(1H)-one)"
BRX406,Page11,2138169-93-2,"BrexpiprazoleImpurity31 2,7-bis(4-(4-(benzo[b]thiophen-4-yl)piperazin-1-yl)butoxy)quinoline"
BRX407,BrexpiprazoleImpurity52,2137823-20-0,7-(4-(4-(benzo[b]thiophen-4-yl)piperazin-1-yl)butoxy)-1-(4-(4-(benzo[b]thiophen-4-yl)piperazin-1- yl)butyl)quinolin-2(1H)-one
BRX408,BrexpiprazoleImpurity15,913612-07-4,"7-(4-(4-(benzo[b]thiophen-4-yl)piperazin-1-yl)butoxy) -3,4-dihydroquinolin-2(1H)-one"
BRX409,BrexpiprazoleImpurity18,2059954-32-2,7-(4-chlorobutoxy)-1-(4-chlorobutyl)quinolin-2(1H)-one
BRX410,BrexpiprazoleImpurity42,2060027-95-2,"2,7-bis(4-chlorobutoxy)quinoline"
BRX411,BrexpiprazoleImpurity22,913614-18-3,1-(benzo[b]thiophen-4-yl)piperazinehydrochloride
BRX412,BrexpiprazoleImpurity23,1849603-58-2,7-(4-(piperzin-1-yl)butoxy)quinolin-2(1H)-one
BRX413,BrexpiprazoleImpurity25,5118-13-8,4-Bromobenzo[b]thiophene
BRX414,BrexpiprazoleDi-N-Oxide,2247155-42-4,"1-(Benzo[b]thiophen-4-yl)-4-(4-((2-oxo-l,2-dihydroquinolin-7- yl)oxy)butyl) piperazine 1,4-dioxide"
